_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
8710912064749,https://images.openfoodfacts.org/images/products/871/091/206/4749/front_de.62.400.jpg,Valess,Cheese,761.0,0.8,1.1,0.9,11.0,3.8,2.09744698660715,0.44,-3.0
4056489466581,https://images.openfoodfacts.org/images/products/405/648/946/6581/front_de.14.400.jpg,Vemondo,Plant-based milk substitutes,222.0,1.8,0.17,0.4,4.1,0.17,13.4,0.068,-2.0
4002671157751,https://images.openfoodfacts.org/images/products/400/267/115/7751/front_de.3.400.jpg,Gervais,Dairy desserts,392.0,1.6,0.85,2.6,12.3,0.0,0.0,0.34,1.0
5411188109235,https://images.openfoodfacts.org/images/products/541/118/810/9235/front_fr.47.400.jpg,PROVAMEL 1983,Plant-based milk substitutes,157.0,2.2,0.01,0.2,1.0,0.3,5.0,0.004,0.0
5411188102809,https://images.openfoodfacts.org/images/products/541/118/810/2809/front_de.182.400.jpg,Alpro,Plant-based milk substitutes,293.0,7.9,0.15,0.4,3.7,1.0,61.475,0.06,-4.0
20019907,https://images.openfoodfacts.org/images/products/20019907/front_de.173.400.jpg,Solevita,Fruit juices,117.0,2.2,0.01,0.1,0.4,0.5,99.88,0.004,-4.0
40896250,https://images.openfoodfacts.org/images/products/40896250/front_de.55.400.jpg,Fairglobe,Chocolate products,2361.0,51.5,0.23,21.5,7.2,0.1,0.0,0.092,28.0
54491014,https://images.openfoodfacts.org/images/products/54491014/front_en.131.400.jpg,coca cola,Sweetened beverages,180.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0
4061458019187,https://images.openfoodfacts.org/images/products/406/145/801/9187/front_de.34.400.jpg,vegetarisch lecker!,Processed meat,821.0,3.8,2.2,1.7,8.6,2.8,0.0,0.88,10.0
4260380661284,https://images.openfoodfacts.org/images/products/426/038/066/1284/front_de.39.400.jpg,Like Meat,unknown,960.0,0.0,1.4,1.6,11.0,5.9,0.0,0.56,-1.0
3274080005003,https://images.openfoodfacts.org/images/products/327/408/000/5003/front_de.871.400.jpg,Cristaline,Waters and flavored waters,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0021,0.0
3451790988042,https://images.openfoodfacts.org/images/products/345/179/098/8042/front_fr.105.400.jpg,Elle & Vire,Milk and yogurt,1204.0,3.2,0.08,21.0,2.3,0.0,0.0,0.032,13.0
4019300005208,https://images.openfoodfacts.org/images/products/401/930/000/5208/front_de.81.400.jpg,Exquisa,Cheese,269.0,3.5,0.65,0.1,10.4,0.0,0.0,0.26,-3.0
7613036920278,https://images.openfoodfacts.org/images/products/761/303/692/0278/front_de.33.400.jpg,"Garden Gourmet,Nestlé",unknown,817.0,1.0,0.9,3.9,14.0,5.9,13.2725941051136,0.36,-2.0
5053990138753,https://images.openfoodfacts.org/images/products/505/399/013/8753/front_de.179.400.jpg,Pringles,Appetizers,2237.0,2.4,1.4,3.0,4.6,2.9,0.0,0.56,11.0
7613034831712,https://images.openfoodfacts.org/images/products/761/303/483/1712/front_de.75.400.jpg,Nestlé,Teas and herbal teas and coffees,1572.0,3.2,0.23,0.2,5.1,8.0,9.375,0.092,3.0
5449000052926,https://images.openfoodfacts.org/images/products/544/900/005/2926/front_fr.97.400.jpg,Fanta,Artificially sweetened beverages,203.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0
5000112576009,https://images.openfoodfacts.org/images/products/500/011/257/6009/front_de.30.400.jpg,Coca-Cola,Artificially sweetened beverages,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.08,1.0
8480000171511,https://images.openfoodfacts.org/images/products/848/000/017/1511/front_en.67.400.jpg,Hacendado,Dressings and sauces,321.0,6.9,1.0,0.3,1.5,0.0,58.30078125,0.4,4.0
3178530408515,https://images.openfoodfacts.org/images/products/317/853/040/8515/front_fr.147.400.jpg,Bonne Maman,Biscuits and cakes,1941.0,35.0,0.27,5.2,5.3,2.7,19.0,0.108,16.0
3045140118502,https://images.openfoodfacts.org/images/products/304/514/011/8502/front_de.31.400.jpg,"Milka,Mondelez",Chocolate products,2346.0,45.0,0.22,16.0,8.2,3.7,20.3125,0.088,23.0
8076809573252,https://images.openfoodfacts.org/images/products/807/680/957/3252/front_de.112.400.jpg,"Mulino Bianco, Mulino Bianco",Biscuits and cakes,2136.0,21.5,0.75,7.5,7.5,3.3,0.0,0.3,17.0
7616800705057,https://images.openfoodfacts.org/images/products/761/680/070/5057/front_fr.30.400.jpg,"Migros,M-Classic,Bischofszell",Cereals,415.0,3.2,1.0,0.9,3.7,14.0,64.0,0.4,-4.0
