_id,image_url,brands,is_beverage,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
20749880,https://images.openfoodfacts.org/images/products/20749880/front_de.122.400.jpg,"Vemondo,Lidl,Sojinal",Y,Plant-based milk substitutes,182,2.9,0.16,0.3,3.3,0.8,4.9,0.064,-2,a,1,3
5411188116592,https://images.openfoodfacts.org/images/products/541/118/811/6592/front_de.184.400.jpg,Alpro,Y,Plant-based milk substitutes,85,1.9,0.13,0.9,0.1,0.1,5.3,0.052,0,b,0,0
4066447051360,https://images.openfoodfacts.org/images/products/406/644/705/1360/front_de.34.400.jpg,dmBio,Y,Plant-based milk substitutes,168,5.2,0.13,0.2,0.6,0.5,0,0.052,1,b,1,0
7394376616129,https://images.openfoodfacts.org/images/products/739/437/661/6129/front_de.68.400.jpg,Oatly,Y,Plant-based milk substitutes,193,4,0.1,0.2,1,0.8,11.45833333,0.04,0,b,0,0
5411188120742,https://images.openfoodfacts.org/images/products/541/118/812/0742/front_de.70.400.jpg,Alpro,Y,Plant-based milk substitutes,126,3.8,0.14,0.1,0.4,1.3,3.45,0.056,-1,a,0,1
5411188135005,https://images.openfoodfacts.org/images/products/541/118/813/5005/front_de.74.400.jpg,Alpro,Y,Plant-based milk substitutes,182,0,0.12,0.2,0.7,1,4.35,0.048,-1,a,1,0
5411188115458,https://images.openfoodfacts.org/images/products/541/118/811/5458/front_de.187.400.jpg,"Alpro, Danone",Y,Plant-based milk substitutes,257,7.6,0.14,0.4,3.1,0.9,64.875,0.056,-2,a,1,0
4056489346357,https://images.openfoodfacts.org/images/products/405/648/934/6357/front_de.154.400.jpg,"Milbona,Vemondo,Lidl,envia",Y,Plant-based milk substitutes,53,0,0.15,0.1,0.5,0,2.3,0.06,0,b,0,0
5411188128311,https://images.openfoodfacts.org/images/products/541/118/812/8311/front_de.27.400.jpg,Alpro,Y,Plant-based milk substitutes,56,0,0.07,1.1,0.1,0,9.6,0.028,1,b,1,0
5411188134985,https://images.openfoodfacts.org/images/products/541/118/813/4985/front_de.96.400.jpg,Alpro,Y,Plant-based milk substitutes,248,0,0.12,0.4,0.7,1,12.5,0.048,-1,a,0,1
5411188124689,https://images.openfoodfacts.org/images/products/541/118/812/4689/front_de.203.400.jpg,Alpro,Y,Plant-based milk substitutes,169,0,0.09,0.2,0.2,1.2,4.35,0.036,-1,a,0,1
4061458019187,https://images.openfoodfacts.org/images/products/406/145/801/9187/front_de.34.400.jpg,vegetarisch lecker!,N,Processed meat,821,3.8,2.2,1.7,8.6,2.8,0,0.88,10,c,5,11
3272770015653,https://images.openfoodfacts.org/images/products/327/277/001/5653/front_de.33.400.jpg,Bresso,N,Salty and fatty products,939,1.1,1.1,1.7,4.6,4,16,0.44,1,b,6,1
4000339035229,https://images.openfoodfacts.org/images/products/400/033/903/5229/front_en.52.400.jpg,"Mondelez,Philadelphia",N,Salty and fatty products,964,4.3,0.75,14,5.4,0.2,0,0.3,12,d,7,6
7622300441937,https://images.openfoodfacts.org/images/products/762/230/044/1937/front_en.130.400.jpg,Kraft,N,Salty and fatty products,1027,1.3,0.75,14,5.4,0.2,0,0.3,13,d,3,5
20082857,https://images.openfoodfacts.org/images/products/20082857/front_de.64.400.jpg,Milbona,N,Salty and fatty products,1033,2.7,0.78,16.1,7.4,0,0,0.312,12,d,0,5
4000405002704,https://images.openfoodfacts.org/images/products/400/040/500/2704/front_de.31.400.jpg,Rügenwalder Mühle,N,Salty and fatty products,923,4.1,1.6,1.7,0.6,3.3,38.61875,0.64,7,c,11,0
4061458284547,https://images.openfoodfacts.org/images/products/406/145/828/4547/front_de.3.400.jpg,Mein veggie Tag,N,Sandwiches,842,0.4,1.37,2.5,14.6,6.5,0,0.548,0,b,10,5
4337185354212,https://images.openfoodfacts.org/images/products/433/718/535/4212/front_de.24.400.jpg,K-Classic,N,Sandwiches,1071,3.2,2,5.6,13,1.9,0,0.8,15,d,10,9
4056489363316,https://images.openfoodfacts.org/images/products/405/648/936/3316/front_de.3.400.jpg,Lidl,N,Sandwiches,997,5,1.35,3.4,11.9,0,9.732142857,0.54,11,d,9,5
4311501675328,https://images.openfoodfacts.org/images/products/431/150/167/5328/front_de.14.400.jpg,"Gut&Günstig,Edeka",N,Sandwiches,1295,3,1.5,4.3,13.1,3.5,0,0.6,10,c,5,5
5000157062673,https://images.openfoodfacts.org/images/products/500/015/706/2673/front_en.41.400.jpg,Heinz,Y,Soups,225,5.1,0.6,0.2,0.9,0.6,84,0.24,-2,a,5,3
4029764001807,https://images.openfoodfacts.org/images/products/402/976/400/1807/front_de.171.400.jpg,Club Mate,Y,Sweetened beverages,84,5,0,0,0,0,0,0,7,d,1,0
